,,Label,Area,StdDev,X,Y,Angle,Length,,
1,cOrg1.jpg,655.577,26.8,892.623,643.794,59.904,745.634,713.2115,713.2115,
2,cOrg1.jpg,598.57,27.532,889.99,660.909,-34.919,680.789,,,
3,cOrg2.jpg,597.8,33.856,959.767,720.154,-80.866,680.065,678.5095,678.5095,
4,cOrg2.jpg,594.718,18.338,951.867,755.701,-165.585,676.954,,,
5,cOrg4.jpg,728.761,16.93,984.781,643.794,-63.191,829.01,772.4765,772.4765,
6,cOrg4.jpg,629.384,38.148,936.069,583.233,38.429,715.943,,,
7,Org4.jpg,2994.297,19.719,1396.184,1392.952,37.617,1387.253,1052.077,1052.077,Org4.jpg
8,Org4.jpg,1550.535,45.584,1363.865,1392.952,-63.204,716.901,,,
9,Org2.jpg,4883.722,39.019,1392.952,1428.503,67.682,2263.858,1513.513,1513.513,Org2.jpg
10,Org2.jpg,1648.024,33.348,1305.69,1544.852,-10.739,763.168,,,
11,Org3.jpg,2831.816,29.911,1396.184,1515.764,35.177,1312.727,1009.4115,1009.4115,Org3.jpg
12,Org3.jpg,1527.324,32.112,1325.082,1515.764,-78.381,706.096,,,
13,Org1.jpg,2209.745,15.196,1415.575,1480.213,43.977,1023.979,985.439,985.439,Org1.jpg
14,Org1.jpg,2042.621,27.945,1357.401,1428.503,-51.096,946.899,,,
